Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Num_Days,Train_Category
107,SWV-MAO-VLNK,SAWANTWADI ROAD,MADGOAN JN.,Saturday,1,Weekend
108,VLNK-MAO-SWV,MADGOAN JN.,SAWANTWADI ROAD,Friday,1,Weekday
128,MAO-KOP SPEC,MADGOAN JN.,CHHATRAPATI SHAHU MAHARAJ TERMINUS,Friday,1,Weekday
290,PALACE ON WH,DELHI-SAFDAR JANG,DELHI-SAFDAR JANG,Wednesday,1,Weekday
401,BSB BHARATDA,AURANGABAD,VARANASI JN.,Saturday,1,Weekend
421,LKO-SVDK FTR,LUCKNOW JN.,SHRI MATA VAISHNO DEVI KATRA,Tuesday,1,Weekday
422,SVDK-LKO FTR,SHRI MATA VAISHNO DEVI KATRA,LUCKNOW JN.,Monday,1,Weekday
477,FTR TRAIN NO,SIRSA,SIRSA,Sunday,1,Weekend
502,RJPB-UMB FTR,RAJENDRANAGAR TERMINAL,AMBALA CANTT JN,Monday,1,Weekday
504,PNBE-BTI FTR,PATNA JN.,BATHINDA JN,Wednesday,1,Weekday
506,PNBE-PTA FTR,PATNA JN.,PATIALA,Friday,1,Weekday
557,RSD-PJP BSF,URKURA,PANJIPARA,Wednesday,1,Weekday
22439,SVDK VANDEBHARAT,NEW DELHI,SHMATA VD KATRA,Friday,1,Weekday
604,PNBE-ASR FTR,PATNA JN.,AMRITSAR JN.,Thursday,1,Weekday
1011,CSMT-NGP SF,CST-MUMBAI,NAGPUR JN.(CR),Thursday,1,Weekday
1037,LTT-SWV SPL,LOKMANYA TILAK TERMINUS,SAWANTWADI ROAD,Tuesday,1,Weekday
1038,SWV-LTT SPL,SAWANTWADI ROAD,LOKMANYA TILAK TERMINUS,Tuesday,1,Weekday
1045,LTT-KRMI SPL,LOKMANYA TILAK TERMINUS,KARMALI,Thursday,1,Weekday
1119,AJNI-KRMI SP,AJNI,KARMALI,Monday,1,Weekday
1120,KRMI-AJNI SP,KARMALI,AJNI,Sunday,1,Weekend
1122,KRMI-CSMT SP,KARMALI,CST-MUMBAI,Friday,1,Weekday
1196,NGP-KRMI SPL,NAGPUR JN.(CR),KARMALI,Saturday,1,Weekend
1301,PUNE-MAJN WE,PUNE JN.,MANGALORE JN,Monday,1,Weekday
1302,MAJN-PUNE WE,MANGALORE JN,PUNE JN.,Tuesday,1,Weekday
1442,DSJ-KK MTY S,DELHI-SAFDAR JANG,KHADKI,Tuesday,1,Weekday
1655,PUNE-JBP SPL,PUNE JN.,JABALPUR,Wednesday,1,Weekday
1656,JBP-PUNE SPL,JABALPUR,PUNE JN.,Friday,1,Weekday
1705,BDTS-JBP SF,BANDRA TERMINUS,JABALPUR,Friday,1,Weekday
1706,JBP-BDTS SF,JABALPUR,BANDRA TERMINUS,Saturday,1,Weekend
1707,JBP-ATT BI-W,JABALPUR,ATARI JN,Thursday,1,Weekday
1708,ATT-JBP BI-W,ATARI JN,JABALPUR,Tuesday,1,Weekday
2025,CSMT-KRMI SF,CST-MUMBAI,KARMALI,Tuesday,1,Weekday
2026,KRMI-CSMT SF,KARMALI,CST-MUMBAI,Monday,1,Weekday
2191,JBP-SRC SF S,JABALPUR,SANTRAGACHI JN.,Tuesday,1,Weekday
2192,SRC-JBP SF S,SANTRAGACHI JN.,JABALPUR,Wednesday,1,Weekday
2195,REWA-BPL SF,REWA,BHOPAL,Thursday,1,Weekday
2196,BPL-REWA SF,BHOPAL,REWA,Monday,1,Weekday
2515,TVC-SCL SPL,TRIVANDRUM CENTRAL,SILCHAR,Wednesday,1,Weekday
2651,PLNI-POY EXP,PALANI,POLLACHI,Monday,1,Weekday
2652,POY-PLNI EXP,POLLACHI,PALANI,Thursday,1,Weekday
2731,HYB-JP HSP,HYDERABAD DECCAN,JAIPUR JN.,Thursday,1,Weekday
2732,JP-HYB SPECI,JAIPUR JN.,HYDERABAD DECCAN,Monday,1,Weekday
2821,PUNE-SRC AC,PUNE JN.,SANTRAGACHI JN.,Friday,1,Weekday
2822,SRC-PUNE  AC,SANTRAGACHI JN.,PUNE JN.,Friday,1,Weekday
2833,RJT-SRC SF A,RAJKOT,SANTRAGACHI JN.,Thursday,1,Weekday
2834,SRC-RJT SF A,SANTRAGACHI JN.,RAJKOT,Saturday,1,Weekend
2841,SRC MAS SPL,SANTRAGACHI JN.,CHENNAI CENTRAL,Wednesday,1,Weekday
2842,MAS SRC SPL,CHENNAI CENTRAL,SANTRAGACHI JN.,Wednesday,1,Weekday
2845,PUNE HTE SPL,PUNE JN.,HATIA,Thursday,1,Weekday
2846,HTE-PUNE SPL,HATIA,PUNE JN.,Friday,1,Weekday
3101,KOAA PURI SP,KOLKATA,PURI,Friday,1,Weekday
3102,PURI KOAA SP,PURI,KOLKATA,Sunday,1,Weekend
3301,ASN-DHN MEMU,ASANSOL MAIN,DHANBAD JN.,Wednesday,1,Weekday
3302,DHN-ASN MEMU,DHANBAD JN.,ASANSOL MAIN,Monday,1,Weekday
3305,DHN-KUSUNDA,DHANBAD JN.,KUSUNDA,Saturday,1,Weekend
3306,KUSUNDA-DHN,KUSUNDA,DHANBAD JN.,Friday,1,Weekday
3307,SZE-PLJE MEM,SONARDIH,PHULWARTANR,Wednesday,1,Weekday
3308,PLJE-SZE MEM,PHULWARTANR,SONARDIH,Friday,1,Weekday
3501,JSME-ANVT BI,JASIDIH JN.,ANAND VIHAR TERMINAL,Sunday,1,Weekend
3502,ANVT-JSME BI,ANAND VIHAR TERMINAL,JASIDIH JN.,Saturday,1,Weekend
4401,ANVT-UHP EXP,ANAND VIHAR TERMINAL,SHRI MATA VAISHNO DEVI KATRA,Thursday,1,Weekday
4402,UHP-ANVT EXP,SHRI MATA VAISHNO DEVI KATRA,ANAND VIHAR TERMINAL,Thursday,1,Weekday
4409,DLI-SVDK SPL,DELHI JN.,SHRI MATA VAISHNO DEVI KATRA,Sunday,1,Weekend
4410,SVDK-DLI SPL,SHRI MATA VAISHNO DEVI KATRA,DELHI JN.,Wednesday,1,Weekday
4419,MAO-NZM WINT,MADGOAN JN.,HAZRAT NIZAMUDDIN JN,Sunday,1,Weekend
4420,NZM-MAO WINT,HAZRAT NIZAMUDDIN JN,MADGOAN JN.,Wednesday,1,Weekday
4735,BKN - HW EXP,BIKANER JN.,HARIDWAR JN,Sunday,1,Weekend
4736,HW - BKN EXP,HARIDWAR JN,BIKANER JN.,Tuesday,1,Weekday
4767,HMH-SGNR SPL,HANUMANGARH JN.,SHRI GANGANAGAR,Sunday,1,Weekend
4768,SGNR-HMH SPL,SHRI GANGANAGAR,HANUMANGARH JN.,Wednesday,1,Weekday
4769,HMH SGNR PAS,HANUMANGARH JN.,SHRI GANGANAGAR,Monday,1,Weekday
4770,SGNR HMH PAS,SHRI GANGANAGAR,HANUMANGARH JN.,Thursday,1,Weekday
4771,SDLP-SGNR SP,SADULPUR JN,SHRI GANGANAGAR,Tuesday,1,Weekday
4772,SGNR-SDLP SP,SHRI GANGANAGAR,SADULPUR JN,Tuesday,1,Weekday
4773,SGNR SOG SPL,SHRI GANGANAGAR,SURATGARH JN.,Tuesday,1,Weekday
4774,SOG SGNR SPL,SURATGARH JN.,SHRI GANGANAGAR,Sunday,1,Weekend
4801,PBC MKN PASS,PARVATSAR CITY,MAKRANA JN.,Thursday,1,Weekday
4802,MKN PBC PASS,MAKRANA JN.,PARVATSAR CITY,Saturday,1,Weekend
4831,JU HW SPL,JODHPUR JN.,HARIDWAR JN,Sunday,1,Weekend
4832,HW JU SPL,HARIDWAR JN,JODHPUR JN.,Wednesday,1,Weekday
4851,MTD RTGH SPL,MERTA ROAD JN.,RATANAGARH JN,Thursday,1,Weekday
4852,RTGH MTD SPL,RATANAGARH JN,MERTA ROAD JN.,Monday,1,Weekday
4853,RTGH CUR SPL,RATANAGARH JN,CHURU,Monday,1,Weekday
4854,CUR RTGH SPL,CHURU,RATANAGARH JN,Monday,1,Weekday
4921,SRE-UMB MEMU,SAHARANPUR JN.,AMBALA CANTT JN,Tuesday,1,Weekday
4922,UMB-SRE MEMU,AMBALA CANTT JN,SAHARANPUR JN.,Tuesday,1,Weekday
4991,PTK-JAT DEMU,PATHANKOT JN.,JAMMU TAWI,Wednesday,1,Weekday
4992,JAT-PTK DEMU,JAMMU TAWI,PATHANKOT JN.,Sunday,1,Weekend
5061,GKP - BNY SP,GORAKHPUR JN.,BARHNI,Wednesday,1,Weekday
5062,BNY - GKP SP,BARHNI,GORAKHPUR JN.,Monday,1,Weekday
5065,CPR-LJN,CHHAPRA JN.,LUCKNOW JN.,Thursday,1,Weekday
5066,LJN-CPR-EXP,LUCKNOW JN.,CHHAPRA JN.,Saturday,1,Weekend
5105,GKP-BST SPL,GORAKHPUR JN.,BASTI,Wednesday,1,Weekday
5106,BST-GKP SPL,BASTI,GORAKHPUR JN.,Monday,1,Weekday
5305,CPA-FBD EXP,KANPUR ANWARGANJ,FARRUKHABAD JN,Thursday,1,Weekday
5306,FBD- CPA EXP,FARRUKHABAD JN,KANPUR ANWARGANJ,Saturday,1,Weekend
5309,BC-LKU SPL,BAREILLY CITY,LALKUA JN.,Friday,1,Weekday
5310,LKU-BC EXP,LALKUA JN.,BAREILLY CITY,Wednesday,1,Weekday
5521,JMP-SHC SPEC,JAMALPUR JN.,SAHARSA JN.,Saturday,1,Weekend
5522,SHC-JMP SPEC,SAHARSA JN.,JAMALPUR JN.,Monday,1,Weekday
5613,JLWC-KOTA SP,JHALAWAR CITY,KOTA,Sunday,1,Weekend
5614,KOTA-JLWC SP,KOTA,JHALAWAR CITY,Sunday,1,Weekend
5619,NLP - MZS PA,NORTH LAKHIMPUR,MURKEONG SELEK,Thursday,1,Weekday
5620,MZS - NLP PA,MURKEONG SELEK,NORTH LAKHIMPUR,Tuesday,1,Weekday
5631,GHY - SCL PA,GUWAHATI,SILCHAR,Wednesday,1,Weekday
5632,SCL - GHY PA,SILCHAR,GUWAHATI,Friday,1,Weekday
5715,GAREEB NAWAZ,NEW JALPAIGURI JN,KISHANGANJ,Monday,1,Weekday
5716,GAREEB NAWAZ,KISHANGANJ,NEW JALPAIGURI JN,Thursday,1,Weekday
5719,KIR - SGUJ D,KATIHAR JN.,SILIGURI JN.,Saturday,1,Weekend
5720,SGUJ - KIR D,SILIGURI JN.,KATIHAR JN.,Tuesday,1,Weekday
5863,RNY - RPAN P,RANGIYA JN.,RANGAPARA NORTH,Saturday,1,Weekend
5864,RPAN - RNY P,RANGAPARA NORTH,RANGIYA JN.,Saturday,1,Weekend
5865,RNY - MZS PA,RANGIYA JN.,MURKEONG SELEK,Thursday,1,Weekday
5866,MZS - RNY PA,MURKEONG SELEK,RANGIYA JN.,Monday,1,Weekday
6001,MS-TEN SPECI,CHENNAI EGMORE,TIRUNELVELI JN,Friday,1,Weekday
6002,TEN - MS SPE,TIRUNELVELI JN,CHENNAI EGMORE,Wednesday,1,Weekday
6006,ERS-MAS SPL,ERNAKULAM. JN,CHENNAI CENTRAL,Tuesday,1,Weekday
6009,SRC-PDY SPL,SANTRAGACHI JN.,PONDICHERRY,Tuesday,1,Weekday
6010,PDY-SRC SPL,PONDICHERRY,SANTRAGACHI JN.,Monday,1,Weekday
6041,MAS-QLN SPEC,CHENNAI CENTRAL,QUILON,Monday,1,Weekday
6042,QLN-MAS SPEC,QUILON,CHENNAI CENTRAL,Thursday,1,Weekday
6043,MAS-QLN SPL,CHENNAI CENTRAL,QUILON,Saturday,1,Weekend
6044,QLN-MAS  SPL,QUILON,CHENNAI CENTRAL,Friday,1,Weekday
6046,QLN-MAS SPEC,QUILON,CHENNAI CENTRAL,Tuesday,1,Weekday
6047,MAS-QLN SPL,CHENNAI CENTRAL,QUILON,Friday,1,Weekday
6048,QLN- MAS SPL,QUILON,CHENNAI CENTRAL,Tuesday,1,Weekday
6049,MS-QLN SPL F,CHENNAI EGMORE,QUILON,Monday,1,Weekday
6050,QLN-MS  SPL,QUILON,CHENNAI EGMORE,Wednesday,1,Weekday
6053,KCVL-MAJN S/,KOCHUVELI,MANGALORE JN,Saturday,1,Weekend
6054,MAJN-KCVL S/,MANGALORE JN,KOCHUVELI,Sunday,1,Weekend
6057,SRC-MAS  SPL,SANTRAGACHI JN.,CHENNAI CENTRAL,Friday,1,Weekday
6058,MAS-SRC  EXP,CHENNAI CENTRAL,SANTRAGACHI JN.,Tuesday,1,Weekday
6065,CGL-MDU SPL,CHENGALPATTU,MADURAI JN,Monday,1,Weekday
6066,MDU-CGL SPL,MADURAI JN,CHENGALPATTU,Tuesday,1,Weekday
6067,CGL-CBE TRI-,CHENGALPATTU,COIMBATORE  JN.,Sunday,1,Weekend
6068,CBE-CGL TRI-,COIMBATORE  JN.,CHENGALPATTU,Saturday,1,Weekend
6081,CBE-POY PASS,COIMBATORE  JN.,POLLACHI,Friday,1,Weekday
6082,POY-CBE PASS,POLLACHI,COIMBATORE  JN.,Thursday,1,Weekday
6412,DSJ-PAY EZHI,DELHI-SAFDAR JANG,PAYYANUR,Friday,1,Weekday
6512,MKM-BAND ONE,MARIKUPPAM,BANASWADI,Wednesday,1,Weekday
6513,BWT-MKM-MEMU,BANGARPET JN.,MARIKUPPAM,Sunday,1,Weekend
6541,YPR-PVR WEEK,YESVANTPUR JN.,PANDHARPUR,Sunday,1,Weekend
6542,PVR-YPR WEEK,PANDHARPUR,YESVANTPUR JN.,Wednesday,1,Weekday
6547,YPR-ERS WEEK,YESVANTPUR JN.,ERNAKULAM. JN,Thursday,1,Weekday
6548,ERS-YPR WEEK,ERNAKULAM. JN,YESVANTPUR JN.,Wednesday,1,Weekday
6579,YPR-VSKP WKY,YESVANTPUR JN.,VISAKHAPATNAM,Friday,1,Weekday
6580,VSKP-YPR WKY,VISAKHAPATNAM,YESVANTPUR JN.,Tuesday,1,Weekday
6581,YPR-BGM TATK,YESVANTPUR JN.,BELGAUM,Thursday,1,Weekday
6582,BGM-YPR TATK,BELGAUM,YESVANTPUR JN.,Monday,1,Weekday
6591,YPR-HSRA PAS,YESVANTPUR JN.,HOSUR,Monday,1,Weekday
6592,HSRA-YPR PAS,HOSUR,YESVANTPUR JN.,Tuesday,1,Weekday
6593,WFD-BYPL DEM,WHITE FIELD,BAIYYAPPANAHALLI,Sunday,1,Weekend
6594,BYPL-WFD DEM,BAIYYAPPANAHALLI,WHITE FIELD,Saturday,1,Weekend
6595,YPR-CBP PASS,YESVANTPUR JN.,DEVANHALLI,Saturday,1,Weekend
6596,CBP-YPR PASS,DEVANHALLI,YESVANTPUR JN.,Tuesday,1,Weekday
6647,KRBA-BSP PAS,KORBA,BILASPUR JN.,Friday,1,Weekday
6648,BSP-KRRBA PA,BILASPUR JN.,KORBA,Friday,1,Weekday
6769,PGTN-PLNI PA,PALGHAT TOWN,PALANI,Wednesday,1,Weekday
6770,PLNI-PGTN PA,PALANI,PALGHAT TOWN,Thursday,1,Weekday
6851,KIK-NCR DEMU,KARAIKAL,NAGORE,Wednesday,1,Weekday
6852,NCR-KIK DEMU,NAGORE,KARAIKAL,Sunday,1,Weekend
6853,KIK-NCR PASS,KARAIKAL,NAGORE,Thursday,1,Weekday
6854,NCR-KIK PASS,NAGORE,KARAIKAL,Monday,1,Weekday
6919,UBL-BJP SPL,HUBLI JN.,BIJAPUR JN,Saturday,1,Weekend
6920,BJP-UBL SPL,BIJAPUR JN,HUBLI JN.,Monday,1,Weekday
7005,HYB-RXL,HYDERABAD DECCAN,RAXAUL JN.,Sunday,1,Weekend
7006,RXL-HYB,RAXAUL JN.,HYDERABAD DECCAN,Saturday,1,Weekend
7007,SC-DBG,SECUNDERABAD JN.,DARBHANGA JN.,Sunday,1,Weekend
7008,DBG-SC,DARBHANGA JN.,SECUNDERABAD JN.,Wednesday,1,Weekday
7016,KCG-VSKP,KACHEGUDA,VISAKHAPATNAM,Saturday,1,Weekend
7044,VSKP HSP,TIRUPATI,VISAKHAPATNAM,Monday,1,Weekday
7061,COA-VLNK,KAKINADA PORT,VIJAYWADA JN.,Tuesday,1,Weekday
7062,VLNK-BZA,VIJAYWADA JN.,KAKINADA PORT,Friday,1,Weekday
7075,HYB-COA,SECUNDERABAD JN.,KAKINADA TOWN,Wednesday,1,Weekday
7076,COA-HYB,KAKINADA TOWN,SECUNDERABAD JN.,Thursday,1,Weekday
7109,HYB-QLN,HYDERABAD DECCAN,QUILON,Thursday,1,Weekday
7110,QLN-HYB,QUILON,HYDERABAD DECCAN,Monday,1,Weekday
7113,KRMR-QLN,KARIM NAGAR,QUILON,Wednesday,1,Weekday
7133,HYB-GNT-QLN,HYDERABAD DECCAN,QUILON,Thursday,1,Weekday
7134,QLN-GNT-HYB,QUILON,HYDERABAD DECCAN,Saturday,1,Weekend
7141,HYB-QLN,HYDERABAD DECCAN,QUILON,Thursday,1,Weekday
7142,QLN-HYB,QUILON,HYDERABAD DECCAN,Sunday,1,Weekend
7146,TPTY-KCG,TIRUPATI,KACHEGUDA,Friday,1,Weekday
7149,SC-GHY HSP,SECUNDERABAD JN.,GUWAHATI,Thursday,1,Weekday
7211,CCT-QLN,KAKINADA TOWN,QUILON,Tuesday,1,Weekday
7212,QLN-COA,QUILON,KAKINADA TOWN,Friday,1,Weekday
7213,BZA-QLN,VIJAYWADA JN.,QUILON,Friday,1,Weekday
7214,QLN-BZA,QUILON,VIJAYWADA JN.,Tuesday,1,Weekday
7217,NS-QLN,NARASAPUR,QUILON,Friday,1,Weekday
7218,QLN-NS,QUILON,NARASAPUR,Monday,1,Weekday
7410,TPTY-AK,TIRUPATI,AURANGABAD,Saturday,1,Weekend
7417,TPTY-NSL HSP,TIRUPATI,NAGARSOL,Monday,1,Weekday
7418,NSL-TPTY HSP,NAGARSOL,TIRUPATI,Monday,1,Weekday
7425,KCG--COA HSP,KACHEGUDA,KAKINADA PORT,Saturday,1,Weekend
7426,COA-KCG HSP,KAKINADA PORT,KACHEGUDA,Sunday,1,Weekend
7429,SC-TPTY,SECUNDERABAD JN.,TIRUPATI,Wednesday,1,Weekday
7430,TPTY-SC,TIRUPATI,SECUNDERABAD JN.,Thursday,1,Weekday
7431,CCT-TPTY,KAKINADA TOWN,TIRUPATI,Friday,1,Weekday
7432,TPTY-CCT,TIRUPATI,KAKINADA TOWN,Tuesday,1,Weekday
7435,COA-HYB,KAKINADA TOWN,SECUNDERABAD JN.,Sunday,1,Weekend
7436,SC-COA,SECUNDERABAD JN.,KAKINADA TOWN,Saturday,1,Weekend
7438,KCG-TATA HSP,KACHEGUDA,TATANAGAR JN,Tuesday,1,Weekday
7439,TATA-KCG HSP,TATANAGAR JN,KACHEGUDA,Tuesday,1,Weekday
7487,TPTY-VSKP,TIRUPATI,VISAKHAPATNAM,Wednesday,1,Weekday
7505,AWB-QLN,AURANGABAD,QUILON,Wednesday,1,Weekday
7509,ADB-QLN,ADILABAD,QUILON,Thursday,1,Weekday
7517,BIDAR-PVR,BIDAR,PANDHARPUR,Thursday,1,Weekday
7525,NJP - NBQ DE,SILIGURI JN.,NEW BONGAIGAON  JN.,Tuesday,1,Weekday
7526,NBQ - NJP DE,NEW BONGAIGAON  JN.,SILIGURI JN.,Tuesday,1,Weekday
7603,KCG-KJM HSP,KACHEGUDA,KRISHNA RAJA PURAM,Wednesday,1,Weekday
7604,KJM-KCG HSP,KRISHNA RAJA PURAM,KACHEGUDA,Wednesday,1,Weekday
7607,NED-TPTY HOL,NANDED,TIRUPATI,Saturday,1,Weekend
7608,TPTY-NED,TIRUPATI,NANDED,Monday,1,Weekday
7613,sabarimalai,NIZAMABAD,QUILON,Tuesday,1,Weekday
7614,sabarimalai,QUILON,NIZAMABAD,Sunday,1,Weekend
7644,tpty spl,KAKINADA TOWN,TIRUPATI,Sunday,1,Weekend
7645,RU-CCT,RENIGUNTA JN.,KAKINADA TOWN,Thursday,1,Weekday
7757,SC-BZA  SPL,SECUNDERABAD JN.,VIJAYWADA JN.,Sunday,1,Weekend
7758,BZA-SC  SPL,VIJAYWADA JN.,SECUNDERABAD JN.,Tuesday,1,Weekday
7941,CCT-TPTY HSP,KAKINADA TOWN,RENIGUNTA JN.,Monday,1,Weekday
7942,TPTY-COASPL,TIRUPATI,KAKINADA TOWN,Wednesday,1,Weekday
8001,KGP-JGM BI-W,KHARAGPUR,JHARGRAM,Tuesday,1,Weekday
8002,JGM-KGP BI-W,JHARGRAM,KHARAGPUR,Thursday,1,Weekday
8014,MDN-KGP MEMU,MIDNAPORE,KHARAGPUR,Monday,1,Weekday
8017,KGP-JGM MEMU,KHARAGPUR,JHARGRAM,Sunday,1,Weekend
8018,JGM-KGP MEMU,JHARGRAM,KHARAGPUR,Tuesday,1,Weekday
8035,BLS - KGP DE,KHARAGPUR,BALASORE,Saturday,1,Weekend
8036,BLS - KGP ME,BALASORE,KHARAGPUR,Sunday,1,Weekend
8051,KGP JGM MEMU,KHARAGPUR,JHARGRAM,Thursday,1,Weekday
8052,JGM KGP MEMU,JHARGRAM,KHARAGPUR,Saturday,1,Weekend
8061,SHM JP SPL W,SHALIMAR,JAIPUR JN.,Friday,1,Weekday
8062,JP SHM SPL W,JAIPUR JN.,SHALIMAR,Wednesday,1,Weekday
8063,KGP-BQA DEMU,KHARAGPUR,BANKURA,Sunday,1,Weekend
8064,BQA-KGP DEMU,BANKURA,KHARAGPUR,Monday,1,Weekday
8065,KGP-BQA MEMU,KHARAGPUR,BANKURA,Tuesday,1,Weekday
8082,BQA-VSU MEMU,BANKURA,BISHNUPUR,Sunday,1,Weekend
8087,VSU-BQA MEMU,BISHNUPUR,BANKURA,Wednesday,1,Weekday
8101,CBSA CKP DEM,CHAIBASA,CHAKARADHARPUR,Friday,1,Weekday
8102,CKP-CBSA DEM,CHAKARADHARPUR,CHAIBASA,Wednesday,1,Weekday
8301,SBP-BAND WEE,SAMBALPUR JN.,BANASWADI,Sunday,1,Weekend
8302,BAND-SBP WEE,BANASWADI,SAMBALPUR JN.,Sunday,1,Weekend
8403,PURI-SRC WEE,PURI,SANTRAGACHI JN.,Sunday,1,Weekend
8404,SRC-PURI WEE,SANTRAGACHI JN.,PURI,Friday,1,Weekday
8501,VSKP SC WEEK,VISAKHAPATNAM,SECUNDERABAD JN.,Wednesday,1,Weekday
8502,SC VSKP SPEC,SECUNDERABAD JN.,VISAKHAPATNAM,Sunday,1,Weekend
8511,KRDL-VSKP SP,KIRANDUL,VISAKHAPATNAM,Friday,1,Weekday
8512,VSKP-KRDL SP,VISAKHAPATNAM,KIRANDUL,Wednesday,1,Weekday
8567,VSKP-QLN BI-,VISAKHAPATNAM,QUILON,Monday,1,Weekday
8568,QLN-VSKP BI-,QUILON,VISAKHAPATNAM,Wednesday,1,Weekday
8573,VSKP-TPTY WE,VISAKHAPATNAM,TIRUPATI,Tuesday,1,Weekday
8574,TPTY-VSKP SP,TIRUPATI,VISAKHAPATNAM,Tuesday,1,Weekday
8581,BPQ CAF PASS,BALHARSHAH,CHANDAFORT,Friday,1,Weekday
8582,CAF BPQ SPL,CHANDAFORT,BALHARSHAH,Tuesday,1,Weekday
8617,RNC ANVT SPL,RANCHI,ANAND VIHAR TERMINAL,Monday,1,Weekday
8618,ANVT RNC SPL,ANAND VIHAR TERMINAL,RANCHI,Sunday,1,Weekend
8627,HWH RNC SPL,HOWRAH JN.,RANCHI,Saturday,1,Weekend
8628,RNC HWH  SPL,RANCHI,HOWRAH JN.,Friday,1,Weekday
8872,DURG-G PASS,DURG,GONDIA JN.,Monday,1,Weekday
9003,BDTS NZM  SF,BANDRA TERMINUS,HAZRAT NIZAMUDDIN JN,Saturday,1,Weekend
9004,NZM  BDTS SF,HAZRAT NIZAMUDDIN JN,BANDRA TERMINUS,Monday,1,Weekday
9005,BCT NDLS BI,MUMBAI CENTRAL,NEW DELHI,Wednesday,1,Weekday
9006,NDLS BCT BI,NEW DELHI,MUMBAI CENTRAL,Sunday,1,Weekend
9011,BDTS BKN WEE,BANDRA TERMINUS,BIKANER JN.,Thursday,1,Weekday
9012,BKN BDTS WEE,BIKANER JN.,BANDRA TERMINUS,Tuesday,1,Weekday
9433,BDTS GIMB WE,BANDRA TERMINUS,GANDHIDHAM JN.,Wednesday,1,Weekday
9434,GIMB BDTS WE,GANDHIDHAM JN.,BANDRA TERMINUS,Wednesday,1,Weekday
9621,AII BDTS SF,AJMER JN.,BANDRA TERMINUS,Tuesday,1,Weekday
9622,BDTS AII SF,BANDRA TERMINUS,AJMER JN.,Saturday,1,Weekend
9721,JP UDZ SF SP,JAIPUR JN.,UDAIPUR CITY,Friday,1,Weekday
9722,UDZ JP SF SP,UDAIPUR CITY,JAIPUR JN.,Wednesday,1,Weekday
9761,SGNR-SOG SPL,SHRI GANGANAGAR,SURATGARH JN.,Friday,1,Weekday
9809,KOTA-NZM DAI,KOTA,HAZRAT NIZAMUDDIN JN,Saturday,1,Weekend
9810,NZM-KOTA DAI,HAZRAT NIZAMUDDIN JN,KOTA,Monday,1,Weekday
10103,MANDOVI EXPR,CST-MUMBAI,MADGOAN JN.,Thursday,1,Weekday
10104,MANDOVI EXPR,MADGOAN JN.,CST-MUMBAI,Monday,1,Weekday
10111,KONKAN KANYA,CST-MUMBAI,MADGOAN JN.,Friday,1,Weekday
10112,KONKAN KANYA,MADGOAN JN.,CST-MUMBAI,Saturday,1,Weekend
10215,MAO-ERS,MADGOAN JN.,ERNAKULAM. JN,Tuesday,1,Weekday
10216,ERS-MAO SPL,ERNAKULAM. JN,MADGOAN JN.,Wednesday,1,Weekday
11001,SNSI-PVR EXP,SAI NAGAR SHIRDI,PANDHARPUR,Wednesday,1,Weekday
11002,PVR-SNSI EXP,PANDHARPUR,SAI NAGAR SHIRDI,Sunday,1,Weekend
11003,DR-SWV TUTAR,DADAR,SAWANTWADI ROAD,Friday,1,Weekday
11004,SWV-DR TUTAR,SAWANTWADI ROAD,DADAR,Friday,1,Weekday
11005,DR-PDY EXPRE,DADAR,PONDICHERRY,Saturday,1,Weekend
11006,CHALUKYA EXP,PONDICHERRY,DADAR,Saturday,1,Weekend
11007,DECCAN EXPRE,CST-MUMBAI,PUNE JN.,Wednesday,1,Weekday
11008,DECCAN EXPRE,PUNE JN.,CST-MUMBAI,Monday,1,Weekday
11009,SINHAGAD EXP,CST-MUMBAI,PUNE JN.,Thursday,1,Weekday
11010,SINHAGAD EXP,PUNE JN.,CST-MUMBAI,Sunday,1,Weekend
11011,LTT-NED EXPR,LOKMANYA TILAK TERMINUS,NANDED,Friday,1,Weekday
11012,NED-LTT  EXP,NANDED,LOKMANYA TILAK TERMINUS,Monday,1,Weekday
11013,COIMBATORE E,LOKMANYA TILAK TERMINUS,COIMBATORE  JN.,Tuesday,1,Weekday
11014,LOKMANYA TT,COIMBATORE  JN.,LOKMANYA TILAK TERMINUS,Wednesday,1,Weekday
11015,KUSHINAGAR E,LOKMANYA TILAK TERMINUS,GORAKHPUR JN.,Saturday,1,Weekend
11016,KUSHINAGAR E,GORAKHPUR JN.,LOKMANYA TILAK TERMINUS,Sunday,1,Weekend
11017,LTT-KIK WEEK,LOKMANYA TILAK TERMINUS,KARAIKAL,Thursday,1,Weekday
11018,KARAIKAL LTT,KARAIKAL,LOKMANYA TILAK TERMINUS,Wednesday,1,Weekday
11019,KONARK EXPRE,CST-MUMBAI,BHUBANESWAR,Friday,1,Weekday
11020,KONARK EXPRE,BHUBANESWAR,CST-MUMBAI,Wednesday,1,Weekday
11021,DR-TEN EXPRE,DADAR,TIRUNELVELI JN,Saturday,1,Weekend
11022,TEN - DR EXP,TIRUNELVELI JN,DADAR,Saturday,1,Weekend
11023,SAHYADRI EXP,CST-MUMBAI,CHHATRAPATI SHAHU MAHARAJ TERMINUS,Wednesday,1,Weekday
11024,SAHYADRI EXP,CHHATRAPATI SHAHU MAHARAJ TERMINUS,CST-MUMBAI,Thursday,1,Weekday
