Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Num_Days,Train_Category
31864,LGL KNJ EMU,LALGOLA,KRISHNA NAGAR CITY JN.,Sunday,1,Weekend
31865,KNJ LGL EMU,KRISHNA NAGAR CITY JN.,LALGOLA,Wednesday,1,Weekday
31866,LGL KNJ EMU,LALGOLA,KRISHNA NAGAR CITY JN.,Thursday,1,Weekday
31911,SDAH-GEDE LO,SEALDAH,GEDE,Wednesday,1,Weekday
31912,GEDE - SDAH,GEDE,SEALDAH,Saturday,1,Weekend
31913,SDAH-GEDE LO,SEALDAH,GEDE,Sunday,1,Weekend
31914,GEDE - SDAH,GEDE,SEALDAH,Wednesday,1,Weekday
31915,SDAH-GEDE LO,SEALDAH,GEDE,Tuesday,1,Weekday
31916,GEDE - SDAH,GEDE,SEALDAH,Saturday,1,Weekend
31917,SDAH-GEDE LO,SEALDAH,GEDE,Wednesday,1,Weekday
31918,GEDE - SDAH,GEDE,SEALDAH,Friday,1,Weekday
31919,SDAH-GEDE LO,SEALDAH,GEDE,Thursday,1,Weekday
31920,GEDE- SDAH L,GEDE,SEALDAH,Monday,1,Weekday
31921,SDAH - GEDE,SEALDAH,GEDE,Sunday,1,Weekend
31922,GEDE - SDAH,GEDE,SEALDAH,Wednesday,1,Weekday
31923,SDAH-GEDE LO,SEALDAH,GEDE,Tuesday,1,Weekday
31924,GEDE - SDAH,GEDE,SEALDAH,Thursday,1,Weekday
31925,SDAH-GEDE LO,SEALDAH,GEDE,Monday,1,Weekday
31926,GEDE - SDAH,GEDE,SEALDAH,Monday,1,Weekday
31927,SDAH-GEDE LO,SEALDAH,GEDE,Tuesday,1,Weekday
31928,GEDE - SDAH,GEDE,SEALDAH,Wednesday,1,Weekday
31929,SDAH-GEDE LO,SEALDAH,GEDE,Wednesday,1,Weekday
32211,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Saturday,1,Weekend
32212,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Tuesday,1,Weekday
32213,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Thursday,1,Weekday
32214,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Sunday,1,Weekend
32215,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Friday,1,Weekday
32216,DKAE-SDAH LO,DANKUNI JN.,SEALDAH,Sunday,1,Weekend
32217,SDAH-DKAE LO,SEALDAH,DANKUNI JN.,Sunday,1,Weekend
